d3mIndex,bounding_box,confidence
22,"507,1623,507,1738,632,1738,632,1623",0.9382
22,"18,1953,18,2108,179,2108,179,1953",0.9205
22,"1879,1639,1879,1797,2017,1797,2017,1639",0.9189
22,"1,2197,1,2443,139,2443,139,2197",0.9085
22,"0,673,0,820,119,820,119,673",0.8850
22,"1603,0,1603,141,1728,141,1728,0",0.8544
22,"1928,1891,1928,1992,2019,1992,2019,1891",0.8508
22,"1976,106,1976,246,2172,246,2172,106",0.8400
22,"2200,954,2200,1092,2357,1092,2357,954",0.8289
22,"187,1,187,107,341,107,341,1",0.8036
22,"2170,22,2170,205,2343,205,2343,22",0.6225
22,"1988,69,1988,236,2336,236,2336,69",0.5386
27,"1782,1866,1782,2086,1984,2086,1984,1866",0.9768
27,"1706,546,1706,866,1884,866,1884,546",0.9665
27,"1942,1079,1942,1292,2098,1292,2098,1079",0.9399
27,"2128,1160,2128,1300,2309,1300,2309,1160",0.8874
27,"216,2411,216,2512,302,2512,302,2411",0.5363
33,"1579,1762,1579,1947,1722,1947,1722,1762",0.9532
33,"1738,1975,1738,2142,1927,2142,1927,1975",0.9064
33,"1593,106,1593,245,1707,245,1707,106",0.8529
33,"1632,1974,1632,2174,1768,2174,1768,1974",0.7887
33,"1726,623,1726,724,1827,724,1827,623",0.7744
33,"1745,955,1745,1037,1814,1037,1814,955",0.6168
37,"0,0,0,0,0,0,0,0",0
44,"1509,1090,1509,1249,1634,1249,1634,1090",0.9763
44,"1716,853,1716,986,1849,986,1849,853",0.9740
44,"1165,770,1165,935,1331,935,1331,770",0.9693
44,"1872,41,1872,261,2063,261,2063,41",0.9680
44,"1322,461,1322,645,1492,645,1492,461",0.9527
44,"1417,2033,1417,2191,1576,2191,1576,2033",0.9499
44,"970,1360,970,1490,1145,1490,1145,1360",0.9498
44,"1507,760,1507,898,1670,898,1670,760",0.9491
44,"2147,1675,2147,1807,2316,1807,2316,1675",0.9483
44,"1614,1365,1614,1533,1778,1533,1778,1365",0.9459
44,"1396,1662,1396,1836,1557,1836,1557,1662",0.9060
45,"1356,1644,1356,1843,1547,1843,1547,1644",0.9743
45,"1628,1739,1628,1968,1829,1968,1829,1739",0.9742
45,"1447,1404,1447,1588,1635,1588,1635,1404",0.9723
45,"1546,151,1546,435,1828,435,1828,151",0.9676
45,"1622,638,1622,835,1805,835,1805,638",0.9630
45,"1419,1178,1419,1371,1609,1371,1609,1178",0.9614
45,"1315,55,1315,239,1468,239,1468,55",0.9563
45,"1822,1128,1822,1351,2020,1351,2020,1128",0.9476
45,"1470,538,1470,687,1643,687,1643,538",0.9445
45,"1246,656,1246,878,1433,878,1433,656",0.9279
45,"1587,2124,1587,2342,1788,2342,1788,2124",0.8590
45,"1969,2038,1969,2168,2177,2168,2177,2038",0.8391
45,"1331,2149,1331,2312,1499,2312,1499,2149",0.6569
55,"1013,486,1013,709,1228,709,1228,486",0.9787
55,"916,728,916,932,1139,932,1139,728",0.9734
55,"1093,1738,1093,1962,1355,1962,1355,1738",0.9649
55,"861,1902,861,2057,1015,2057,1015,1902",0.9243
55,"1320,2228,1320,2440,1557,2440,1557,2228",0.9222
55,"1120,89,1120,364,1386,364,1386,89",0.9222
55,"1068,1980,1068,2178,1244,2178,1244,1980",0.8877
55,"591,575,591,853,928,853,928,575",0.8731
55,"1029,1316,1029,1504,1203,1504,1203,1316",0.8726
55,"967,2490,967,2691,1207,2691,1207,2490",0.8706
55,"945,283,945,456,1111,456,1111,283",0.8590
55,"790,1694,790,1879,967,1879,967,1694",0.8235
55,"945,1106,945,1312,1163,1312,1163,1106",0.7972
55,"175,663,175,809,297,809,297,663",0.7340
55,"1448,215,1448,329,1541,329,1541,215",0.6671
55,"1831,2372,1831,2532,1985,2532,1985,2372",0.5341
59,"550,815,550,1026,804,1026,804,815",0.9565
59,"1010,1697,1010,1821,1160,1821,1160,1697",0.9391
59,"2082,1322,2082,1563,2248,1563,2248,1322",0.9340
59,"995,674,995,803,1104,803,1104,674",0.9292
59,"637,1186,637,1314,786,1314,786,1186",0.9129
59,"346,140,346,342,506,342,506,140",0.8798
59,"807,147,807,324,917,324,917,147",0.8742
59,"638,1759,638,1945,775,1945,775,1759",0.8731
59,"323,2191,323,2353,509,2353,509,2191",0.8465
59,"1083,1061,1083,1170,1180,1170,1180,1061",0.8237
59,"2311,684,2311,813,2410,813,2410,684",0.7181
59,"2024,1226,2024,1336,2111,1336,2111,1226",0.6788
59,"2415,998,2415,1098,2468,1098,2468,998",0.5732
59,"997,1370,997,1484,1077,1484,1077,1370",0.5670
59,"2355,31,2355,173,2453,173,2453,31",0.5666
59,"2071,2511,2071,2638,2200,2638,2200,2511",0.5531
59,"705,433,705,543,782,543,782,433",0.5179
63,"1620,1389,1620,1572,1799,1572,1799,1389",0.9792
63,"1453,608,1453,795,1657,795,1657,608",0.9546
63,"444,847,444,942,590,942,590,847",0.8075
63,"1568,1953,1568,2052,1673,2052,1673,1953",0.7701
63,"773,2436,773,2579,880,2579,880,2436",0.6695
63,"1163,811,1163,1013,1280,1013,1280,811",0.6533
64,"1324,100,1324,383,1577,383,1577,100",0.9851
64,"163,263,163,515,379,515,379,263",0.9845
64,"1641,1524,1641,1757,1857,1757,1857,1524",0.9757
64,"1457,1349,1457,1516,1615,1516,1615,1349",0.9531
64,"1861,614,1861,795,2014,795,2014,614",0.9499
64,"602,1596,602,1716,706,1716,706,1596",0.8940
64,"1071,1528,1071,1620,1173,1620,1173,1528",0.6135
71,"674,327,674,601,955,601,955,327",0.9900
71,"986,1727,986,2005,1188,2005,1188,1727",0.9765
71,"636,1584,636,1765,862,1765,862,1584",0.9706
71,"1146,134,1146,283,1280,283,1280,134",0.9625
71,"1010,1218,1010,1356,1147,1356,1147,1218",0.9546
71,"1000,883,1000,1068,1183,1068,1183,883",0.9430
71,"340,377,340,539,571,539,571,377",0.8934
71,"1517,993,1517,1132,1698,1132,1698,993",0.8930
71,"740,1091,740,1244,857,1244,857,1091",0.8696
71,"323,2242,323,2399,656,2399,656,2242",0.8056
71,"111,786,111,916,393,916,393,786",0.8024
71,"967,1587,967,1736,1159,1736,1159,1587",0.7473
71,"1229,2395,1229,2514,1348,2514,1348,2395",0.6892
71,"605,2453,605,2567,1545,2567,1545,2453",0.5945
71,"0,2389,0,2635,2471,2635,2471,2389",0.5245
73,"6,175,6,343,157,343,157,175",0.9518
74,"355,1865,355,2009,574,2009,574,1865",0.9699
74,"2009,1311,2009,1461,2179,1461,2179,1311",0.9680
74,"641,928,641,1150,836,1150,836,928",0.9585
74,"545,322,545,479,673,479,673,322",0.9582
74,"541,1254,541,1417,723,1417,723,1254",0.9547
74,"2202,1373,2202,1551,2364,1551,2364,1373",0.9467
74,"1057,1485,1057,1623,1216,1623,1216,1485",0.9455
74,"2227,2045,2227,2179,2416,2179,2416,2045",0.9452
74,"2212,129,2212,283,2357,283,2357,129",0.9443
74,"766,1766,766,1896,923,1896,923,1766",0.9431
74,"1997,2101,1997,2249,2141,2249,2141,2101",0.9424
74,"721,2136,721,2312,892,2312,892,2136",0.9416
74,"1961,379,1961,475,2063,475,2063,379",0.9366
74,"1912,1790,1912,1935,2015,1935,2015,1790",0.9292
74,"903,1554,903,1724,1073,1724,1073,1554",0.9257
74,"1076,806,1076,995,1331,995,1331,806",0.9249
74,"645,79,645,207,742,207,742,79",0.9067
74,"1108,1031,1108,1143,1263,1143,1263,1031",0.9063
74,"694,331,694,474,838,474,838,331",0.9050
74,"304,1683,304,1806,432,1806,432,1683",0.8999
74,"878,629,878,813,1045,813,1045,629",0.8969
74,"2204,2466,2204,2640,2354,2640,2354,2466",0.8776
74,"2379,990,2379,1109,2467,1109,2467,990",0.8738
74,"414,697,414,845,619,845,619,697",0.8565
74,"2292,1690,2292,1810,2428,1810,2428,1690",0.8280
74,"158,573,158,803,376,803,376,573",0.7881
74,"2330,2655,2330,2802,2459,2802,2459,2655",0.7535
74,"161,867,161,1124,334,1124,334,867",0.7342
74,"2390,320,2390,473,2470,473,2470,320",0.7212
74,"1010,633,1010,768,1124,768,1124,633",0.6920
74,"938,2027,938,2209,1205,2209,1205,2027",0.6242
76,"793,1404,793,1563,958,1563,958,1404",0.9696
76,"440,1457,440,1622,647,1622,647,1457",0.9655
76,"2209,1145,2209,1290,2382,1290,2382,1145",0.9529
76,"672,2241,672,2388,806,2388,806,2241",0.9320
76,"2372,827,2372,1028,2468,1028,2468,827",0.9287
76,"479,1172,479,1321,689,1321,689,1172",0.8692
76,"431,1689,431,1842,599,1842,599,1689",0.8651
76,"909,2138,909,2265,1032,2265,1032,2138",0.7372
83,"1869,541,1869,681,1982,681,1982,541",0.9792
83,"1771,183,1771,345,1915,345,1915,183",0.9787
83,"132,1186,132,1389,332,1389,332,1186",0.9664
83,"1942,1511,1942,1629,2087,1629,2087,1511",0.9647
83,"1941,1040,1941,1179,2079,1179,2079,1040",0.9640
83,"1999,1213,1999,1340,2158,1340,2158,1213",0.9631
83,"1825,1220,1825,1402,1961,1402,1961,1220",0.9587
83,"202,1846,202,1976,347,1976,347,1846",0.9576
83,"2044,211,2044,399,2215,399,2215,211",0.9575
83,"1802,1699,1802,1834,1918,1834,1918,1699",0.9490
83,"165,420,165,604,338,604,338,420",0.9450
83,"437,1494,437,1589,543,1589,543,1494",0.9438
83,"1830,2032,1830,2166,1946,2166,1946,2032",0.9393
83,"172,77,172,263,315,263,315,77",0.9310
83,"2022,639,2022,775,2202,775,2202,639",0.9164
83,"2216,664,2216,801,2347,801,2347,664",0.8965
83,"1904,4,1904,125,2005,125,2005,4",0.8867
83,"220,892,220,993,324,993,324,892",0.8680
83,"2079,2150,2079,2300,2237,2300,2237,2150",0.8479
83,"111,2333,111,2491,299,2491,299,2333",0.7576
83,"1897,2449,1897,2595,2046,2595,2046,2449",0.7365
83,"1860,2282,1860,2383,1946,2383,1946,2282",0.7290
83,"2134,2876,2134,3009,2320,3009,2320,2876",0.7250
83,"1799,2639,1799,2785,1901,2785,1901,2639",0.6089
83,"1436,2358,1436,2505,1627,2505,1627,2358",0.5488
89,"1043,1627,1043,1815,1265,1815,1265,1627",0.9763
89,"2086,979,2086,1194,2366,1194,2366,979",0.9738
89,"224,302,224,532,411,532,411,302",0.9689
89,"1752,609,1752,849,1966,849,1966,609",0.9639
89,"36,1011,36,1180,205,1180,205,1011",0.9600
89,"1508,1257,1508,1459,1697,1459,1697,1257",0.9591
89,"1467,1853,1467,2096,1681,2096,1681,1853",0.9572
89,"1374,987,1374,1185,1702,1185,1702,987",0.9483
89,"216,1452,216,1642,363,1642,363,1452",0.9449
89,"1718,1450,1718,1618,1919,1618,1919,1450",0.9357
89,"2,0,2,146,120,146,120,0",0.9344
89,"0,580,0,827,217,827,217,580",0.9319
89,"1584,2048,1584,2240,1807,2240,1807,2048",0.9299
89,"1557,2293,1557,2498,1758,2498,1758,2293",0.9245
89,"1394,96,1394,375,1603,375,1603,96",0.9099
89,"0,2006,0,2210,123,2210,123,2006",0.9082
89,"3,1516,3,1820,129,1820,129,1516",0.8967
89,"1564,42,1564,306,1870,306,1870,42",0.8698
89,"6,240,6,489,105,489,105,240",0.7722
89,"2011,2068,2011,2294,2425,2294,2425,2068",0.6854
89,"1849,422,1849,571,1977,571,1977,422",0.6636
89,"3,1383,3,1621,119,1621,119,1383",0.6005
90,"183,753,183,967,418,967,418,753",0.9896
90,"136,1620,136,1842,392,1842,392,1620",0.9893
90,"2155,911,2155,1129,2449,1129,2449,911",0.9884
90,"1925,303,1925,508,2143,508,2143,303",0.9871
90,"219,58,219,275,458,275,458,58",0.9854
90,"399,1835,399,2027,583,2027,583,1835",0.9817
90,"1958,577,1958,802,2142,802,2142,577",0.9808
90,"482,1334,482,1538,669,1538,669,1334",0.9776
90,"486,2147,486,2313,647,2313,647,2147",0.9744
90,"427,696,427,896,614,896,614,696",0.9724
90,"1954,2134,1954,2341,2147,2341,2147,2134",0.9711
90,"1961,0,1961,178,2128,178,2128,0",0.9710
90,"2211,585,2211,772,2385,772,2385,585",0.9644
90,"2172,1770,2172,1964,2337,1964,2337,1770",0.9574
90,"1,1409,1,1596,176,1596,176,1409",0.9534
90,"37,1073,37,1271,258,1271,258,1073",0.9534
90,"1884,1211,1884,1379,2039,1379,2039,1211",0.9451
90,"2270,122,2270,266,2437,266,2437,122",0.9442
90,"224,2387,224,2606,440,2606,440,2387",0.9211
90,"1989,1328,1989,1500,2134,1500,2134,1328",0.9180
90,"186,2677,186,2926,468,2926,468,2677",0.5634
92,"1451,710,1451,975,1670,975,1670,710",0.9787
92,"8,348,8,567,227,567,227,348",0.9785
92,"65,25,65,280,264,280,264,25",0.9683
92,"2247,565,2247,797,2471,797,2471,565",0.9613
92,"1967,1731,1967,1953,2176,1953,2176,1731",0.9593
92,"1794,372,1794,560,2043,560,2043,372",0.9543
92,"1562,1101,1562,1350,1758,1350,1758,1101",0.9519
92,"1391,1759,1391,1942,1550,1942,1550,1759",0.9505
92,"2046,1189,2046,1433,2210,1433,2210,1189",0.9483
92,"2017,758,2017,967,2183,967,2183,758",0.9466
92,"2112,230,2112,417,2433,417,2433,230",0.9350
92,"1770,2075,1770,2241,1934,2241,1934,2075",0.9195
92,"1652,1355,1652,1501,1847,1501,1847,1355",0.9159
92,"4,2080,4,2335,159,2335,159,2080",0.8971
92,"1917,2,1917,74,2099,74,2099,2",0.8452
92,"1117,2449,1117,2569,2443,2569,2443,2449",0.5264
96,"556,870,556,1064,742,1064,742,870",0.9892
96,"354,1452,354,1565,521,1565,521,1452",0.9780
96,"349,1191,349,1356,549,1356,549,1191",0.9754
96,"2130,491,2130,745,2354,745,2354,491",0.9741
96,"504,602,504,807,740,807,740,602",0.9740
96,"428,1731,428,1862,569,1862,569,1731",0.9600
96,"712,293,712,524,888,524,888,293",0.9446
96,"785,1290,785,1427,968,1427,968,1290",0.9398
96,"2070,1104,2070,1314,2228,1314,2228,1104",0.9320
96,"205,2,205,157,431,157,431,2",0.9317
96,"2305,1711,2305,1997,2461,1997,2461,1711",0.9182
96,"1816,1867,1816,2034,1992,2034,1992,1867",0.9070
96,"2336,879,2336,1116,2469,1116,2469,879",0.9040
96,"2338,1354,2338,1499,2464,1499,2464,1354",0.8969
96,"2184,2396,2184,2592,2393,2592,2393,2396",0.8775
96,"397,2142,397,2355,703,2355,703,2142",0.8505
96,"602,2852,602,2984,778,2984,778,2852",0.6125
96,"68,2693,68,2804,269,2804,269,2693",0.5124
96,"2305,2611,2305,2734,2455,2734,2455,2611",0.5016
96,"899,2474,899,2632,1051,2632,1051,2474",0.5013
97,"352,1366,352,1567,558,1567,558,1366",0.9830
97,"1289,930,1289,1144,1521,1144,1521,930",0.9816
97,"2164,1665,2164,1849,2393,1849,2393,1665",0.9794
97,"1474,2188,1474,2456,1682,2456,1682,2188",0.9783
97,"1730,902,1730,1083,1892,1083,1892,902",0.9692
97,"2106,68,2106,254,2331,254,2331,68",0.9636
97,"1058,0,1058,286,1368,286,1368,0",0.9633
97,"1367,1866,1367,2013,1525,2013,1525,1866",0.9616
97,"1887,1156,1887,1317,2066,1317,2066,1156",0.9599
97,"1771,169,1771,359,1944,359,1944,169",0.9591
97,"1273,666,1273,868,1409,868,1409,666",0.9489
97,"2160,2060,2160,2307,2421,2307,2421,2060",0.9437
97,"14,2243,14,2493,209,2493,209,2243",0.9373
97,"1308,1536,1308,1675,1439,1675,1439,1536",0.9356
97,"1775,6,1775,164,2001,164,2001,6",0.9283
97,"5,1248,5,1489,136,1489,136,1248",0.9253
97,"0,1978,0,2153,125,2153,125,1978",0.9090
97,"1596,2426,1596,2618,1726,2618,1726,2426",0.5708
97,"1706,3102,1706,3256,1950,3256,1950,3102",0.5213
97,"1961,2632,1961,2743,2114,2743,2114,2632",0.5088
101,"2014,1461,2014,1592,2186,1592,2186,1461",0.9043
101,"1851,452,1851,667,2064,667,2064,452",0.8488
101,"1456,2128,1456,2497,1908,2497,1908,2128",0.6604
103,"36,452,36,598,250,598,250,452",0.9803
103,"1388,1569,1388,1840,1650,1840,1650,1569",0.9785
103,"1631,1141,1631,1286,1763,1286,1763,1141",0.9734
103,"1367,750,1367,945,1549,945,1549,750",0.9705
103,"211,1021,211,1158,337,1158,337,1021",0.9663
103,"1057,381,1057,613,1374,613,1374,381",0.9661
103,"203,112,203,316,353,316,353,112",0.9633
103,"164,1846,164,1977,287,1977,287,1846",0.9578
103,"1661,844,1661,1045,1830,1045,1830,844",0.9552
103,"2147,794,2147,1039,2387,1039,2387,794",0.9548
103,"173,1295,173,1432,330,1432,330,1295",0.9534
103,"2199,2122,2199,2291,2471,2291,2471,2122",0.9534
103,"267,748,267,877,405,877,405,748",0.9496
103,"129,1997,129,2101,233,2101,233,1997",0.9472
103,"208,1524,208,1678,370,1678,370,1524",0.9466
103,"2011,1152,2011,1331,2251,1331,2251,1152",0.9425
103,"1918,1517,1918,1662,2079,1662,2079,1517",0.9365
103,"1458,1425,1458,1572,1632,1572,1632,1425",0.9354
103,"1877,1666,1877,1779,2028,1779,2028,1666",0.9293
103,"1710,517,1710,681,1946,681,1946,517",0.9264
103,"1652,54,1652,243,1780,243,1780,54",0.9249
103,"0,1094,0,1248,112,1248,112,1094",0.9179
103,"1550,1976,1550,2175,1772,2175,1772,1976",0.9177
103,"277,2122,277,2243,406,2243,406,2122",0.9089
103,"2312,339,2312,508,2465,508,2465,339",0.9058
103,"1724,2307,1724,2445,1859,2445,1859,2307",0.8690
103,"1865,722,1865,817,1950,817,1950,722",0.8632
103,"1246,2353,1246,2551,1403,2551,1403,2353",0.7841
103,"114,1272,114,1404,287,1404,287,1272",0.7688
103,"0,2663,0,2814,206,2814,206,2663",0.7139
103,"334,2424,334,2568,471,2568,471,2424",0.6609
103,"0,2280,0,2446,105,2446,105,2280",0.6236
103,"363,2413,363,2490,472,2490,472,2413",0.5030
106,"1836,1088,1836,1275,1998,1275,1998,1088",0.9784
106,"164,1478,164,1585,322,1585,322,1478",0.9741
106,"339,935,339,1153,569,1153,569,935",0.9714
106,"1781,630,1781,767,1922,767,1922,630",0.9710
106,"228,1631,228,1782,388,1782,388,1631",0.9691
106,"2106,1124,2106,1294,2288,1294,2288,1124",0.9635
106,"1930,1404,1930,1555,2071,1555,2071,1404",0.9576
106,"1951,928,1951,1066,2137,1066,2137,928",0.9560
106,"501,1280,501,1403,632,1403,632,1280",0.9544
106,"1750,1447,1750,1608,1886,1608,1886,1447",0.9504
106,"438,332,438,492,544,492,544,332",0.9481
106,"1753,460,1753,622,1887,622,1887,460",0.9444
106,"19,1807,19,2004,180,2004,180,1807",0.9266
106,"39,277,39,599,364,599,364,277",0.9263
106,"2234,563,2234,686,2376,686,2376,563",0.9235
106,"193,712,193,1044,436,1044,436,712",0.9087
106,"408,1961,408,2063,517,2063,517,1961",0.9030
106,"1945,2177,1945,2334,2094,2334,2094,2177",0.9018
106,"376,2221,376,2379,536,2379,536,2221",0.8928
106,"1770,2258,1770,2474,1939,2474,1939,2258",0.8308
106,"446,523,446,653,548,653,548,523",0.8057
106,"506,647,506,792,627,792,627,647",0.7953
106,"496,1791,496,1902,589,1902,589,1791",0.7683
106,"0,2632,0,2894,270,2894,270,2632",0.7608
106,"5,2408,5,2509,94,2509,94,2408",0.7125
106,"0,1962,0,2252,84,2252,84,1962",0.5892
106,"160,2442,160,2598,355,2598,355,2442",0.5804
106,"43,2915,43,2984,306,2984,306,2915",0.5496
106,"88,1065,88,1440,310,1440,310,1065",0.5024
107,"652,436,652,658,858,658,858,436",0.9806
107,"618,0,618,144,812,144,812,0",0.9797
107,"2112,1432,2112,1597,2322,1597,2322,1432",0.9762
107,"460,1935,460,2131,648,2131,648,1935",0.9736
107,"1870,1910,1870,2089,2013,2089,2013,1910",0.9720
107,"0,457,0,610,237,610,237,457",0.9643
107,"657,1750,657,2079,825,2079,825,1750",0.9641
107,"2134,2177,2134,2435,2295,2435,2295,2177",0.9570
107,"733,2257,733,2475,953,2475,953,2257",0.9564
107,"1811,71,1811,215,1938,215,1938,71",0.9558
107,"388,988,388,1328,720,1328,720,988",0.9554
107,"2302,1034,2302,1218,2470,1218,2470,1034",0.9504
107,"2268,29,2268,192,2450,192,2450,29",0.9417
107,"1933,1221,1933,1338,2045,1338,2045,1221",0.9342
107,"2344,2035,2344,2208,2465,2208,2465,2035",0.9271
107,"1648,588,1648,820,1820,820,1820,588",0.9053
107,"2089,1191,2089,1353,2214,1353,2214,1191",0.9027
107,"494,1381,494,1550,693,1550,693,1381",0.8949
107,"80,2215,80,2385,375,2385,375,2215",0.8786
107,"1914,917,1914,1067,2015,1067,2015,917",0.8179
107,"222,2357,222,2525,453,2525,453,2357",0.7998
108,"1870,1768,1870,1942,2052,1942,2052,1768",0.9857
108,"2206,14,2206,223,2470,223,2470,14",0.9808
108,"208,755,208,965,375,965,375,755",0.9807
108,"1380,1299,1380,1427,1545,1427,1545,1299",0.9777
108,"485,189,485,412,647,412,647,189",0.9739
108,"610,910,610,1021,734,1021,734,910",0.9724
108,"1704,179,1704,356,1862,356,1862,179",0.9675
108,"2039,509,2039,643,2216,643,2216,509",0.9643
108,"1315,1860,1315,2004,1512,2004,1512,1860",0.9635
108,"120,1336,120,1513,304,1513,304,1336",0.9615
108,"300,1128,300,1288,441,1288,441,1128",0.9557
108,"156,609,156,753,277,753,277,609",0.9549
108,"2103,1544,2103,1642,2293,1642,2293,1544",0.9532
108,"705,557,705,695,935,695,935,557",0.9525
108,"332,6,332,131,549,131,549,6",0.9484
108,"1961,1386,1961,1546,2098,1546,2098,1386",0.9332
108,"387,2147,387,2271,515,2271,515,2147",0.9280
108,"377,980,377,1091,467,1091,467,980",0.9241
108,"0,1911,0,2062,156,2062,156,1911",0.9235
108,"452,1765,452,1957,575,1957,575,1765",0.9216
108,"390,598,390,715,479,715,479,598",0.9101
108,"1619,720,1619,856,1773,856,1773,720",0.8978
108,"1811,776,1811,1077,1933,1077,1933,776",0.8776
108,"2261,1997,2261,2127,2452,2127,2452,1997",0.8646
108,"504,1645,504,1730,601,1730,601,1645",0.7690
108,"1520,2223,1520,2431,1674,2431,1674,2223",0.6126
108,"1906,2383,1906,2516,2104,2516,2104,2383",0.5919
108,"2128,2643,2128,2777,2327,2777,2327,2643",0.5472
108,"933,2425,933,2598,2471,2598,2471,2425",0.5100
108,"589,2584,589,2687,920,2687,920,2584",0.5079
110,"1402,49,1402,282,1554,282,1554,49",0.9820
110,"1879,856,1879,976,2039,976,2039,856",0.9769
110,"1442,439,1442,610,1611,610,1611,439",0.9648
110,"1739,2090,1739,2253,1921,2253,1921,2090",0.9567
110,"1660,1903,1660,2078,1805,2078,1805,1903",0.9551
110,"1,1873,1,2066,219,2066,219,1873",0.9546
110,"13,784,13,939,180,939,180,784",0.9312
110,"1740,669,1740,812,1897,812,1897,669",0.9210
110,"0,91,0,260,113,260,113,91",0.9056
110,"1529,2169,1529,2335,1674,2335,1674,2169",0.8967
110,"1183,0,1183,134,1347,134,1347,0",0.8799
110,"0,533,0,708,116,708,116,533",0.8693
110,"101,2381,101,2630,270,2630,270,2381",0.8372
110,"1688,1576,1688,1744,1852,1744,1852,1576",0.8101
110,"1964,553,1964,653,2122,653,2122,553",0.5670
110,"1451,1137,1451,1439,1866,1439,1866,1137",0.5025
116,"2136,753,2136,929,2335,929,2335,753",0.9826
116,"1241,503,1241,781,1534,781,1534,503",0.9666
116,"2169,1901,2169,2143,2431,2143,2431,1901",0.9612
116,"578,382,578,604,800,604,800,382",0.9446
116,"680,1507,680,1821,981,1821,981,1507",0.9432
116,"1938,372,1938,547,2100,547,2100,372",0.9380
116,"2116,1170,2116,1344,2295,1344,2295,1170",0.9097
116,"1191,1584,1191,1942,1561,1942,1561,1584",0.9018
116,"1146,2422,1146,2613,1339,2613,1339,2422",0.8910
116,"838,1986,838,2249,1098,2249,1098,1986",0.8688
116,"982,2237,982,2382,1154,2382,1154,2237",0.8585
116,"41,1102,41,1269,379,1269,379,1102",0.8572
116,"608,673,608,1036,1018,1036,1018,673",0.8436
116,"2253,1157,2253,1361,2459,1361,2459,1157",0.8286
116,"2358,1426,2358,1597,2464,1597,2464,1426",0.8034
116,"1300,1405,1300,1545,1442,1545,1442,1405",0.7385
116,"672,1135,672,1451,1070,1451,1070,1135",0.7360
116,"0,2411,0,2603,2396,2603,2396,2411",0.5558
116,"522,2702,522,2852,712,2852,712,2702",0.5484
116,"2308,2344,2308,2637,2461,2637,2461,2344",0.5300
118,"470,2005,470,2219,874,2219,874,2005",0.9282
118,"912,1943,912,2238,1159,2238,1159,1943",0.9135
118,"958,398,958,523,1050,523,1050,398",0.8886
118,"788,1424,788,1526,882,1526,882,1424",0.8783
118,"2260,1415,2260,1512,2376,1512,2376,1415",0.7159
118,"2198,2592,2198,2811,2388,2811,2388,2592",0.7141
129,"1096,757,1096,898,1271,898,1271,757",0.9836
129,"947,431,947,625,1052,625,1052,431",0.9467
129,"753,983,753,1096,902,1096,902,983",0.9452
129,"1318,1602,1318,1700,1460,1700,1460,1602",0.9369
129,"1186,0,1186,160,1294,160,1294,0",0.9289
129,"1088,1304,1088,1409,1188,1409,1188,1304",0.8833
129,"2137,1290,2137,1407,2244,1407,2244,1290",0.8677
129,"985,1840,985,1951,1062,1951,1062,1840",0.8629
129,"601,384,601,596,751,596,751,384",0.7776
134,"1349,65,1349,323,1556,323,1556,65",0.9893
134,"1266,1516,1266,1712,1446,1712,1446,1516",0.9650
